Title,First air date,End date,Rating,Genres,Status,Network,Summary
FROM,2022-02-20,2024-11-24,7.8,"[""Drama"", ""Horror"", ""Science-Fiction""]",Running; returning 2026,MGM+,"unravels the mystery of a nightmarish town that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when…"
The Diplomat,2023-04-20,2025-10-16,7.9,"[""Drama"", ""Thriller""]",Running; returning 2026,Netflix,"In the midst of an international crisis, a career diplomat lands in a high-profile job she's unsuited for, with tectonic implications for her marriage and her political future."
Mayor of Kingstown,2021-11-14,2025-10-26,7.9,"[""Drama""]",Running; returning October 2025,Paramount+,"is set in a small Michigan town where the only industry remaining are federal, state, and private prisons, the story follows the McLusky family, the power brokers between the police, criminals, inmates, prison guards and politicians, in a city completely dependent on prisons and…"
Reacher,2022-02-04,2025-03-27,8.2,"[""Drama"", ""Action"", ""Thriller""]",Running; returning 2026,Prime Video,"follows Jack Reacher, a veteran military police investigator who has just recently entered civilian life. Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served. When Reacher arrives in the small town…"
The Mandalorian,2019-11-12,2023-04-19,8.5,"[""Action"", ""Adventure"", ""Science-Fiction""]",Running,Disney+,"After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from t…"
Wednesday,2022-11-23,2025-09-03,8,"[""Comedy"", ""Mystery"", ""Supernatural""]",Running; returning 2026,Netflix,"Smart, sarcastic and a little dead inside, Wednesday Addams investigates a murder spree while making new friends — and foes — at Nevermore Academy."
Ghosts,2021-10-07,2025-10-23,7,"[""Comedy"", ""Supernatural""]",Running,CBS,"Samantha and Jay throw caution to the wind when they convert their recently inherited country estate into a bed-and-breakfast. Call it mislaid plans. Not only is the place falling apart, but it's also inhabited by spirits of previous residents -- whom only Samantha can see and h…"
Shōgun,2024-02-27,2024-04-23,8.5,"[""Drama"", ""Adventure"", ""History""]",Running,Hulu,"is set in Japan in the year 1600 at the dawn of a century-defining civil war. Lord Yoshii Toranaga is fighting for his life as his enemies on the Council of Regents unite against him, when a mysterious European ship is found marooned in a nearby fishing village."
Last Week Tonight with John Oliver,2014-04-27,2025-10-26,7.8,"[""Comedy""]",Running,HBO,"On Last Week Tonight with John Oliver, John Oliver presents a satirical look at the week in news, politics and current events."
Blue Bloods,2010-09-24,2024-12-13,8.1,"[""Drama"", ""Crime""]",Ended,CBS,"is a drama about a multi-generational family of cops dedicated to New York City law enforcement. Frank Reagan is the New York Police Commissioner and heads both the police force and the Reagan brood. He runs his department as diplomatically as he runs his family, even when deali…"
Person of Interest,2011-09-22,2016-06-21,8.8,"[""Action"", ""Crime"", ""Science-Fiction""]",Ended,CBS,"You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes th…"
The Lord of the Rings: The Rings of Power,2022-09-02,2024-10-03,7.1,"[""Drama"", ""Adventure"", ""Fantasy""]",Running; returning 2026,Prime Video,"Set thousands of years before the events of The Lord of the Rings, this epic drama follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth."
Landman,2024-11-17,2025-01-12,8.2,"[""Drama""]",Running; returning November 2025,Paramount+,"Set in the proverbial boomtowns of West Texas, Landman is a modern day tale of fortune seeking in the world of oil rigs. The series is an upstairs/downstairs story of roughnecks and wildcat billionaires fueling a boom so big, it's reshaping our climate, our economy and our geopo…"
3 Body Problem,2024-03-21,2024-03-21,7.5,"[""Drama"", ""Science-Fiction"", ""Thriller""]",Running; returning 2026,Netflix,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges."
Lioness,2023-07-23,2024-12-08,7.6,"[""Drama"", ""Thriller"", ""Espionage""]",Running; returning 2026,Paramount+,", inspired by an actual U.S. Military program, follows the life of Joe while she attempts to balance her personal and professional life as the tip of the CIA's spear in the war on terror. The Lioness Program, overseen by Kaitlyn Meade and Donald Westfield, enlists an aggressive…"
The Day of the Jackal,2024-11-07,2024-12-12,7.9,"[""Thriller""]",Running,Now,"follows an unrivaled and highly elusive lone assassin, the Jackal, who makes his living carrying out hits for the highest fee. But following his latest kill, he meets his match in a tenacious British intelligence officer who starts to track down the Jackal in a thrilling cat-and…"
Criminal Minds,2005-09-22,2025-07-10,8.1,"[""Drama"", ""Crime"", ""Thriller""]",Running; returning 2026,Paramount+,"revolves around an elite team of FBI profilers who analyze the country's most twisted criminal minds, anticipating their next moves before they strike again."
Hijack,2023-06-28,2023-08-02,7.6,"[""Thriller""]",Running; returning January 2026,Apple TV,"Told in real time, Hijack is a tense thriller that follows the journey of a hijacked plane as it makes its way to London over a seven-hour flight, as authorities on the ground scramble for answers. Sam Nelson is an accomplished negotiator in the business world who needs to step…"
Andor,2022-09-21,2025-05-13,8,"[""Science-Fiction"", ""Thriller"", ""Espionage""]",Ended,Disney+,"explores a new perspective from the Star Wars galaxy, focusing on Cassian Andor's journey to discover the difference he can make. The series brings forward the tale of the burgeoning rebellion against the Empire and how people and planets became involved. It's an era filled with…"
For All Mankind,2019-11-01,2024-01-12,7.5,"[""Drama"", ""Science-Fiction""]",Running; returning 2025,Apple TV,"Imagine a world where the global space race never ended. This thrilling ""what if"" take on history from Ronald D. Moore (Outlander, Battlestar Galactica) spotlights the high-stakes lives of NASA astronauts and their families."
Bob's Burgers,2011-01-09,2025-10-26,8,"[""Comedy"", ""Family""]",Running,FOX,"The series follows Bob who runs Bob's Burgers, with the help of his wife and their three kids. Bob has big ideas about burgers, but the rest of the clan falls short on service. Despite the greasy counters and lousy location, the Belchers are determined to make every ""Grand Re-Re…"
Elsbeth,2024-02-29,2025-10-23,7.4,"[""Drama"", ""Crime""]",Running,CBS,"follows Elsbeth Tascioni, an astute but unconventional attorney who utilizes her singular point of view to make unique observations and corner brilliant criminals alongside the NYPD. After leaving her successful legal career in Chicago to tackle a new investigative role in New Y…"
Dune: Prophecy,2024-11-17,2024-12-22,7,"[""Drama"", ""Science-Fiction""]",Running; returning 2026,HBO,"From the expansive universe of Dune, 10,000 years before the ascension of Paul Atreides, Dune: Prophecy follows two Harkonnen sisters as they combat forces that threaten the future of humankind and establish the fabled sect that will become known as the Bene Gesserit."
Matlock,2024-09-22,2025-10-23,7.6,"[""Drama"", ""Mystery"", ""Legal""]",Running,CBS,"After achieving success in her younger years, the brilliant septuagenarian Madeline Matlock rejoins the work force at a prestigious law firm where she uses her unassuming demeanor and wily tactics to win cases and expose corruption from within."
Task,2025-09-07,2025-10-19,7.4,"[""Drama"", ""Crime""]",Ended,HBO,is set in the working class suburbs outside of Philadelphia and follows an FBI agent as he heads a Task Force to put an end to a string of drug-house robberies led by an unsuspecting family man.
Fire Country,2022-10-07,2025-10-24,6.3,"[""Drama"", ""Action""]",Running,CBS,"In Fire Country, seeking redemption and a shortened prison sentence, young convict Bode Donovan joins a firefighting program that returns him to his small Northern California hometown, where he and other inmates work alongside elite firefighters to extinguish massive blazes acro…"
The Lincoln Lawyer,2022-05-13,2024-10-17,7.9,"[""Drama"", ""Crime"", ""Legal""]",Running; returning 2026,Netflix,"Mickey Haller, an iconoclastic idealist, runs his law practice out of the back seat of his Lincoln Town Car, as he takes on cases big and small across the expansive city of Los Angeles."
Fargo,2014-04-15,2024-01-16,8.7,"[""Drama"", ""Comedy"", ""Crime""]",To Be Determined,FX,"is a seasonal anthology crime drama with some dark comical elements, inspired by the film Fargo written by the Coen brothers. Each season follows a new case and new characters, all entrenched in the trademark humor, murder and ""Minnesota nice"" that has made the film an enduring…"
NCIS: Sydney,2023-11-10,2025-10-21,7.1,"[""Drama"", ""Crime""]",Running,Paramount+,"With rising international tensions in the Indo-Pacific, a brilliant and eclectic team of U.S. NCIS agents and the Australian Federal Police (AFP) are grafted into a multinational taskforce to keep naval crimes in check in the most contested patch of ocean on the planet."
Dexter: Resurrection,2025-07-11,2025-09-05,8.8,"[""Drama"", ""Crime"", ""Mystery""]",Running; returning 2026,Paramount+,"Dexter Morgan awakens from a coma and sets out for New York City, determined to find Harrison and make things right. But when Miami Metro's Angel Batista arrives with questions, Dexter realizes his past is catching up to him fast."
NCIS: Origins,2024-10-14,2025-10-21,7.2,"[""Drama"", ""Action"", ""Crime""]",Running,CBS,"In NCIS: Origins, young Leroy Jethro Gibbs starts his career as a newly minted special agent at the fledgling NCIS Camp Pendleton office where he forges his place on a gritty, ragtag team led by NCIS legend Mike Franks."
Dark Matter,2024-05-08,2024-06-26,7.4,"[""Science-Fiction"", ""Thriller"", ""Mystery""]",Running; returning 2025,Apple TV,"Hailed as one of the best sci-fi novels of the decade, Dark Matter is a story about the road not taken. The series follows Jason Dessen, a physicist, professor, and family man who – one night while walking home on the streets of Chicago – is abducted into an alternate version of…"
Saturday Night Live,2004-10-02,2025-10-18,5.9,"[""Comedy"", ""Music""]",Running,NBC,"Since its inception in 1975, ""SNL"" has launched the careers of many of the brightest comedy performers of their generation. As The New York Times noted on the occasion of the show's Emmy-winning 25th Anniversary special in 1999, ""in defiance of both time and show business conven…"
NCIS: Tony & Ziva,2025-09-04,2025-10-23,6.9,"[""Drama"", ""Action""]",To Be Determined,Paramount+,"Tony and Ziva have been raising their daughter, Tali, together. When Tony's security company is attacked, they must go on the run across Europe, try to figure out who is after them and maybe even learn to trust each other again so that they can finally have their unconventional…"
The Pitt,2025-01-09,2025-04-10,8.6,"[""Drama"", ""Medical""]",Running; returning January 2026,HBO Max,"is a realistic examination of the challenges facing healthcare workers in today's America as seen through the lens of the frontline heroes working in a modern-day hospital in Pittsburgh, Pennsylvania. Each episode follows an hour of Dr. Robby's 15-hour shift as the chief attenda…"
Severance,2022-02-18,2025-03-21,7.6,"[""Drama"", ""Science-Fiction"", ""Mystery""]",Running; returning 2026,Apple TV,"Mark Scout leads a team at Lumon Industries, whose employees have undergone a severance procedure, which surgically divides their memories between their work and personal lives. This daring experiment in ""work-life balance"" is called into question as Mark finds himself at the ce…"
Taboo,2017-01-07,2017-02-25,8.3,"[""Drama"", ""Thriller"", ""Mystery""]",Running; returning 2025,BBC One,"1814: James Keziah Delaney returns to London from Africa and is encircled by conspiracy, murder and betrayal."
Shrinking,2023-01-27,2024-12-24,7.9,"[""Comedy""]",Running; returning January 2026,Apple TV,"follows a grieving therapist who starts to break the rules and tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge, tumultuous changes to people's lives… including his own."
Murdoch Mysteries,2008-01-24,2025-10-20,8,"[""Drama"", ""Crime"", ""Mystery""]",Running,CBC Gem,"Set in Toronto at the dawn of the 20th century, Murdoch Mysteries is a one-hour drama series that explores the intriguing world of William Murdoch, a methodical and dashing detective who pioneers innovative forensic techniques to solve some of the city's most gruesome murders. M…"
Black Mirror,2011-12-04,2025-04-10,8.4,"[""Drama"", ""Science-Fiction"", ""Thriller""]",To Be Determined,Netflix,"Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone--a black mirror of our 21st Century existence. Black Mirror…"
The Terminal List,2022-07-01,2022-07-01,7.7,"[""Drama"", ""Action"", ""Thriller""]",Running; returning 2026,Prime Video,"Based on the best-selling novel by Jack Carr, The Terminal List follows James Reece after his entire platoon of Navy SEALs is ambushed during a high-stakes covert mission. Reece returns home to his family with conflicting memories of the event and questions about his culpability…"
Survivor,2009-09-17,2025-10-22,7.3,"[""Adventure""]",Running,CBS,"Eighteen to twenty castaways will compete against each other on Survivor. All castaways will compete to outwit, outplay, outlast and ultimately be crowned Sole Survivor."
Resident Alien,2021-01-27,2025-08-08,7.8,"[""Drama"", ""Comedy"", ""Science-Fiction""]",Ended,USA Network,"is a dark, twisted and comedic fish-out-of-water story that follows a crash-landed alien named Harry who, after taking on the identity of a small-town Colorado doctor, slowly begins to wrestle with the moral dilemma of his secret mission on Earth — ultimately asking the question…"
The Orville,2017-09-10,2022-08-04,7.6,"[""Comedy"", ""Adventure"", ""Science-Fiction""]",To Be Determined,Hulu,"is a live-action, one-hour space adventure series set 400 years in the future that follows The Orville, a mid-level exploratory spaceship. Its crew, both human and alien, face the wonders and dangers of outer space, while also dealing with the familiar, often humorous problems o…"
Outlander,2014-08-09,2025-01-17,7.9,"[""Adventure"", ""Romance"", ""Science-Fiction""]",Running; returning 2026,STARZ,"follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish w…"
Law & Order,1994-09-21,2025-10-23,7.3,"[""Drama"", ""Crime"", ""Legal""]",Running,NBC,"In the criminal justice system, the people are represented by two separate, yet equally important, groups: the police, who investigate crime; and the district attorneys, who prosecute the offenders. These are their stories."
Daredevil: Born Again,2025-03-04,2025-04-15,7.5,"[""Drama"", ""Action"", ""Science-Fiction""]",Running; returning March 2026,Disney+,Matt Murdock finds himself on a collision course with Wilson Fisk when their past identities begin to emerge.
The Neighborhood,2018-10-01,2025-10-20,6.3,"[""Comedy"", ""Family""]",Running,CBS,"telling about what happens when the friendly guy in the Midwest moves his family to a neighborhood in Los Angeles where not everyone looks like him or appreciates his extreme neighborliness. When Dave Johnson and his family arrive from Michigan, they're unfazed that their new dr…"
Supernatural,2005-09-13,2020-11-19,8.4,"[""Drama"", ""Action"", ""Supernatural""]",Ended,The CW,"This haunting series follows the Winchester brothers as they crisscross the lonely and mysterious back roads of the country in their '67 Chevy Impala, hunting down every evil supernatural force they encounter along the way."
The Last Frontier,2025-10-10,2025-10-24,7.6,"[""Drama"", ""Crime""]",Running,Apple TV,"When a prison transport plane suspiciously crashes near a rugged Alaskan town, the region's U.S. marshal ignites a manhunt for dozens of violent inmates—and the criminal mastermind he believes is behind it all."
Watson,2025-01-26,2025-10-20,5.8,"[""Drama"", ""Mystery"", ""Medical""]",Running,CBS,"In Watson a year after the death of his friend and partner Sherlock Holmes at the hands of Moriarty, Dr. John Watson resumes his medical career as the head of a clinic dedicated to treating rare disorders. Watson's old life isn't done with him, though — Moriarty and Watson are s…"
Yellowstone,2018-06-20,2024-12-15,8.1,"[""Drama"", ""Western""]",Ended,Paramount Network,"follows the Dutton family, led by John Dutton, who controls the largest contiguous ranch in the United States, under constant attack by those it borders — land developers, an Indian reservation, and America's first National Park. It is an intense study of a violent world far fro…"
Hawaii Five-0,2010-09-20,2020-04-03,7.7,"[""Drama"", ""Action"", ""Crime""]",Ended,CBS,"is a contemporary take on the classic series about a new elite federalized task force whose mission is to wipe out the crime that washes up on the Islands' sun-drenched beaches. Detective Steve McGarrett, a decorated Naval officer-turned-cop, returned to Oahu to investigate his…"
Band of Brothers,2001-09-09,2001-11-04,9,"[""Drama"", ""Action"", ""War""]",Ended,HBO,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-D…"
Stargate SG·1,1997-07-27,2007-06-22,8.8,"[""Action"", ""Adventure"", ""Science-Fiction""]",Ended,Syfy,Stargate SG-1 is a science fiction series based on the original film Stargate. It involves the team SG-1 going on various adventures to different alien worlds through Stargates. Throughout the series they encounter various alien threats and allies including but not limited to th…
Georgie & Mandy's First Marriage,2024-10-17,2025-10-23,7.4,"[""Comedy"", ""Family""]",Running,CBS,"Georgie &amp; Mandy's First Marriage follows Georgie and Mandy as they raise their young family in Texas while navigating the challenges of adulthood, parenting and marriage."
The Terminal List: Dark Wolf,2025-08-27,2025-09-24,7.6,"[""Drama"", ""Thriller"", ""Espionage""]",To Be Determined,Prime Video,is a prequel series with an origin story that follows Ben Edwards throughout his journey from the Navy SEALs to the clandestine side of CIA Special Operations. The series is an espionage thriller that explores the darker side of warfare and the human cost that comes with it.
Murder in a Small Town,2024-09-24,2025-10-21,6.5,"[""Drama"", ""Crime""]",Running,FOX,"Karl Alberg moves to a quiet coastal town to soothe a psyche that has been battered by big-city police work. But this gentle paradise has more than its share of secrets, and Karl will need to call upon all the skills that made him a world-class detective in solving the murders t…"
Anne Rice's Mayfair Witches,2023-01-05,2025-03-02,6,"[""Drama"", ""Fantasy"", ""Supernatural""]",Running; returning 2027,AMC+,"centers on an intuitive young neurosurgeon who discovers that she is the unlikely heir to a family of witches. As she grapples with her newfound powers, she must contend with a sinister presence that has haunted her family for generations."
Billy the Kid,2022-04-24,2025-10-26,7,"[""Adventure"", ""Crime"", ""Western""]",Running,MGM+,"is based on the life of famous American outlaw Billy the Kid, also known as William H. Bonney -- from his humble Irish roots, to his early days as a cowboy and gunslinger in the American frontier, to his pivotal role in the Lincoln County War and beyond."
FBI: Most Wanted,2020-01-07,2025-05-20,6.4,"[""Drama"", ""Crime""]",Ended,CBS,"is a high-stakes drama that focuses on the Fugitive Task Force, which relentlessly tracks and captures the notorious criminals on the Bureau's Most Wanted list. Seasoned agent Jess LaCroix oversees the highly skilled team that functions as a mobile undercover unit that is always…"
MobLand,2025-03-30,2025-06-01,8,"[""Drama"", ""Crime""]",Running; returning 2026,Paramount+,"With the most powerful clients in Europe, MobLand will see family fortunes and reputations at risk, odd alliances unfold, and betrayal around every corner; and while the family might be London's most elite fixers today, the nature of their business means there is no guarantee wh…"
1923,2022-12-18,2025-04-06,8,"[""Drama"", ""Western""]",Ended,Paramount+,"focuses on the Dutton family's next two generations as they struggle to survive historic drought, lawlessness and prohibition, and an epidemic of cattle theft; all battled beneath the cloud of Montana's great depression, which preceded the nation by almost a decade."
Dark Winds,2022-06-12,2025-04-27,7.4,"[""Crime"", ""Thriller"", ""Mystery""]",Running; returning February 2026,AMC+,"Based on the iconic Leaphorn &amp; Chee book series by Tony Hillerman, Dark Winds is a psychological thriller that follows two Navajo police officers in the 1970s Southwest, as their search for clues in a grisly double murder case forces them to challenge their own spiritual bel…"
Sheriff Country,2025-10-17,2025-10-24,7.3,"[""Drama"", ""Crime""]",Running,CBS,"focuses on straight-shooting sheriff Mickey Fox, the stepsister of Cal Fire's division chief Sharon Leone, who investigates criminal activity as she patrols the streets of small-town Edgewater while contending with her ex-con father, Wes, who is an off-the-grid marijuana grower,…"
The Recruit,2022-12-16,2025-01-30,7.7,"[""Action"", ""Thriller"", ""Espionage""]",Ended,Netflix,"follows Owen Hendricks, a fledgling lawyer at the CIA who becomes enmeshed in dangerous international power politics when a former asset threatens to expose the agency."
